household_id,chunk_text
HH15,"Household HH15 is located in Village_71, Birnin Gwari, Kaduna. The respondent is a 37-year-old Female who is Single with an education level of Secondary. Their main crops include Soybean, Sorghum, and Millet, while they also rear Goat, Sheep, and Goat. Reported outputs are 273.7536605916947kg in the wet season and 558.977269820153kg in the dry season. Irrigation is sourced from Dam. The farmer has received training. Market access is via Bicycle and the market is 13.86 km away. The main buyer type is Retailer."
HH16,"Household HH16 is located in Village_26, Sabon Gari, Kaduna. The respondent is a 18-year-old Male who is Divorced with an education level of Primary. Their main crops include Cassava, Rice, and Tomato, while they also rear Pig, Poultry, and Goat. Reported outputs are 599.1153224913783kg in the wet season and 958.7972520240236kg in the dry season. Irrigation is sourced from River. The farmer has not received training. Market access is via Animal cart and the market is 0.59 km away. The main buyer type is Wholesaler."
HH17,"Household HH17 is located in Village_34, Zaria, Kaduna. The respondent is a 52-year-old Male who is Married with an education level of Tertiary. Their main crops include Rice, Soybean, and Rice, while they also rear Cattle, Poultry, and Cattle. Reported outputs are 980.132907389882kg in the wet season and 471.286586481067kg in the dry season. Irrigation is sourced from Dam. The farmer has not received training. Market access is via Animal cart and the market is 10.5 km away. The main buyer type is Retailer."
HH18,"Household HH18 is located in Village_63, Jemaa, Kaduna. The respondent is a 31-year-old Male who is Widowed with an education level of Secondary. Their main crops include Rice, Millet, and Rice, while they also rear Poultry, Poultry, and Pig. Reported outputs are 932.4421088491896kg in the wet season and 779.0318914730298kg in the dry season. Irrigation is sourced from Borehole. The farmer has not received training. Market access is via Walking and the market is 16.69 km away. The main buyer type is Processor."
HH19,"Household HH19 is located in Village_11, Sokoto, Kaduna. The respondent is a 24-year-old Female who is Single with an education level of Primary. Their main crops include Cassava, Sorghum, and Maize, while they also rear Poultry, Pig, and Pig. Reported outputs are 741.6251816286464kg in the wet season and 713.7533904907069kg in the dry season. Irrigation is sourced from Dam. The farmer has not received training. Market access is via Public vehicle and the market is 10.48 km away. The main buyer type is Wholesaler."
HH20,"Household HH20 is located in Village_1, Sokoto, Kaduna. The respondent is a 39-year-old Female who is Married with an education level of Secondary. Their main crops include Millet, Sorghum, and Tomato, while they also rear Poultry, Sheep, and Goat. Reported outputs are 808.1224820882201kg in the wet season and 806.6864429629192kg in the dry season. Irrigation is sourced from Borehole. The farmer has not received training. Market access is via Public vehicle and the market is 3.4 km away. The main buyer type is Assembler."
HH21,"Household HH21 is located in Village_17, Makarfi, Kaduna. The respondent is a 56-year-old Female who is Married with an education level of Primary. Their main crops include Groundnut, Cassava, and Cassava, while they also rear Goat, Pig, and Pig. Reported outputs are 482.701686417598kg in the wet season and 590.0237995989634kg in the dry season. Irrigation is sourced from Dam. The farmer has not received training. Market access is via Public vehicle and the market is 1.04 km away. The main buyer type is Wholesaler."
HH22,"Household HH22 is located in Village_47, Zaria, Kaduna. The respondent is a 28-year-old Female who is Divorced with an education level of Primary. Their main crops include Rice, Millet, and Rice, while they also rear Pig, Poultry, and Cattle. Reported outputs are 210.43155110891504kg in the wet season and 556.3386403297618kg in the dry season. Irrigation is sourced from Borehole. The farmer has not received training. Market access is via Animal cart and the market is 16.6 km away. The main buyer type is Wholesaler."
HH23,"Household HH23 is located in Village_24, Kaura, Kaduna. The respondent is a 25-year-old Male who is Widowed with an education level of Primary. Their main crops include Groundnut, Sorghum, and Sorghum, while they also rear Sheep, Goat, and Cattle. Reported outputs are 434.5161254684698kg in the wet season and 988.6621222533872kg in the dry season. Irrigation is sourced from Dam. The farmer has received training. Market access is via Bicycle and the market is 4.05 km away. The main buyer type is Assembler."
HH24,"Household HH24 is located in Village_5, Zaria, Kaduna. The respondent is a 43-year-old Female who is Single with an education level of Adult Edu.. Their main crops include Tomato, Sorghum, and Sorghum, while they also rear Poultry, Goat, and Cattle. Reported outputs are 807.9209020296657kg in the wet season and 447.88312271471256kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Animal cart and the market is 9.59 km away. The main buyer type is Assembler."
HH25,"Household HH25 is located in Village_18, Lere, Kaduna. The respondent is a 21-year-old Male who is Single with an education level of None. Their main crops include Soybean, Groundnut, and Maize, while they also rear Cattle, Pig, and Goat. Reported outputs are 313.8387098274172kg in the wet season and 265.2703354172486kg in the dry season. Irrigation is sourced from River. The farmer has received training. Market access is via Public vehicle and the market is 6.72 km away. The main buyer type is Wholesaler."
HH26,"Household HH26 is located in Village_36, Soba, Kaduna. The respondent is a 38-year-old Male who is Widowed with an education level of Adult Edu.. Their main crops include Rice, Sorghum, and Millet, while they also rear Goat, Cattle, and Cattle. Reported outputs are 406.34792519329017kg in the wet season and 927.2801106494524kg in the dry season. Irrigation is sourced from None. The farmer has received training. Market access is via Bicycle and the market is 8.62 km away. The main buyer type is Wholesaler."
HH27,"Household HH27 is located in Village_19, Shanga, Kaduna. The respondent is a 60-year-old Female who is Divorced with an education level of Secondary. Their main crops include Soybean, Groundnut, and Groundnut, while they also rear Pig, Sheep, and Poultry. Reported outputs are 620.6040996863935kg in the wet season and 984.7524519284148kg in the dry season. Irrigation is sourced from River. The farmer has not received training. Market access is via Walking and the market is 0.7 km away. The main buyer type is Wholesaler."
HH28,"Household HH28 is located in Village_60, Shanga, Kaduna. The respondent is a 60-year-old Male who is Single with an education level of Adult Edu.. Their main crops include Millet, Maize, and Soybean, while they also rear Poultry, Sheep, and Sheep. Reported outputs are 929.3465859633172kg in the wet season and 705.1197003263642kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Motorcycle and the market is 19.28 km away. The main buyer type is Assembler."
HH29,"Household HH29 is located in Village_58, Jemaa, Kaduna. The respondent is a 45-year-old Female who is Divorced with an education level of Tertiary. Their main crops include Rice, Millet, and Millet, while they also rear Pig, Goat, and Pig. Reported outputs are 322.73986360587446kg in the wet season and 618.1752629062224kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Animal cart and the market is 18.3 km away. The main buyer type is Retailer."
HH30,"Household HH30 is located in Village_100, Jaba, Kaduna. The respondent is a 40-year-old Female who is Divorced with an education level of Tertiary. Their main crops include Sorghum, Maize, and Soybean, while they also rear Poultry, Pig, and Pig. Reported outputs are 600.4745982130132kg in the wet season and 266.3589106238482kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Bicycle and the market is 2.41 km away. The main buyer type is Processor."
HH31,"Household HH31 is located in Village_90, Lere, Kaduna. The respondent is a 33-year-old Female who is Divorced with an education level of Secondary. Their main crops include Cassava, Groundnut, and Maize, while they also rear Poultry, Sheep, and Poultry. Reported outputs are 670.7331412615122kg in the wet season and 247.2504545702759kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Walking and the market is 1.92 km away. The main buyer type is Wholesaler."
HH32,"Household HH32 is located in Village_95, Makarfi, Kaduna. The respondent is a 18-year-old Male who is Married with an education level of Quranic. Their main crops include Rice, Rice, and Groundnut, while they also rear Cattle, Goat, and Sheep. Reported outputs are 579.6391035545514kg in the wet season and 306.1600807529652kg in the dry season. Irrigation is sourced from River. The farmer has received training. Market access is via Animal cart and the market is 5.03 km away. The main buyer type is Assembler."
HH33,"Household HH33 is located in Village_73, Sabon Gari, Kaduna. The respondent is a 50-year-old Male who is Widowed with an education level of Secondary. Their main crops include Millet, Cassava, and Cassava, while they also rear Sheep, Cattle, and Poultry. Reported outputs are 546.1744680599002kg in the wet season and 876.2361148440298kg in the dry season. Irrigation is sourced from Dam. The farmer has not received training. Market access is via Walking and the market is 0.73 km away. The main buyer type is Wholesaler."
HH34,"Household HH34 is located in Village_31, Igabi, Kaduna. The respondent is a 32-year-old Male who is Married with an education level of Tertiary. Their main crops include Soybean, Cassava, and Rice, while they also rear Poultry, Goat, and Goat. Reported outputs are 232.0326922598693kg in the wet season and 496.3936896604824kg in the dry season. Irrigation is sourced from None. The farmer has received training. Market access is via Motorcycle and the market is 18.5 km away. The main buyer type is Assembler."
HH35,"Household HH35 is located in Village_39, Kaduna South, Kaduna. The respondent is a 46-year-old Female who is Divorced with an education level of Primary. Their main crops include Rice, Maize, and Groundnut, while they also rear Pig, Pig, and Goat. Reported outputs are 998.2613413827148kg in the wet season and 945.8420875606588kg in the dry season. Irrigation is sourced from River. The farmer has received training. Market access is via Animal cart and the market is 14.06 km away. The main buyer type is Assembler."
HH36,"Household HH36 is located in Village_57, Samaru, Kaduna. The respondent is a 30-year-old Male who is Widowed with an education level of Quranic. Their main crops include Tomato, Groundnut, and Sorghum, while they also rear Goat, Cattle, and Poultry. Reported outputs are 930.5590650658388kg in the wet season and 392.1645744676375kg in the dry season. Irrigation is sourced from Borehole. The farmer has received training. Market access is via Motorcycle and the market is 9.0 km away. The main buyer type is Retailer."
HH37,"Household HH37 is located in Village_81, Birnin Gwari, Kaduna. The respondent is a 49-year-old Male who is Widowed with an education level of None. Their main crops include Maize, Cassava, and Maize, while they also rear Cattle, Sheep, and Sheep. Reported outputs are 921.459119088074kg in the wet season and 812.9927482152015kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Public vehicle and the market is 2.24 km away. The main buyer type is Processor."
HH38,"Household HH38 is located in Village_43, Soba, Kaduna. The respondent is a 26-year-old Male who is Widowed with an education level of Primary. Their main crops include Soybean, Rice, and Rice, while they also rear Sheep, Sheep, and Goat. Reported outputs are 957.8353932712868kg in the wet season and 369.2006092983146kg in the dry season. Irrigation is sourced from Dam. The farmer has received training. Market access is via Bicycle and the market is 2.61 km away. The main buyer type is Retailer."
HH39,"Household HH39 is located in Village_95, Kafanchan, Kaduna. The respondent is a 23-year-old Male who is Married with an education level of Secondary. Their main crops include Cassava, Groundnut, and Rice, while they also rear Cattle, Poultry, and Cattle. Reported outputs are 899.1417576039739kg in the wet season and 465.399189315045kg in the dry season. Irrigation is sourced from Dam. The farmer has received training. Market access is via Animal cart and the market is 10.64 km away. The main buyer type is Assembler."
HH40,"Household HH40 is located in Village_11, Giwa, Kaduna. The respondent is a 52-year-old Male who is Married with an education level of Secondary. Their main crops include Sorghum, Soybean, and Millet, while they also rear Cattle, Goat, and Goat. Reported outputs are 201.4411723262615kg in the wet season and 511.3954187344237kg in the dry season. Irrigation is sourced from Borehole. The farmer has received training. Market access is via Bicycle and the market is 15.05 km away. The main buyer type is Processor."
HH41,"Household HH41 is located in Village_3, Kudan, Kaduna. The respondent is a 51-year-old Male who is Married with an education level of Adult Edu.. Their main crops include Groundnut, Rice, and Soybean, while they also rear Cattle, Sheep, and Pig. Reported outputs are 319.18279073117014kg in the wet season and 542.3254837716618kg in the dry season. Irrigation is sourced from Borehole. The farmer has not received training. Market access is via Animal cart and the market is 16.1 km away. The main buyer type is Assembler."
HH42,"Household HH42 is located in Village_22, Birnin Gwari, Kaduna. The respondent is a 61-year-old Female who is Widowed with an education level of Primary. Their main crops include Rice, Maize, and Tomato, while they also rear Poultry, Poultry, and Goat. Reported outputs are 660.3247818835691kg in the wet season and 636.4781936303415kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Animal cart and the market is 1.47 km away. The main buyer type is Retailer."
HH43,"Household HH43 is located in Village_97, Soba, Kaduna. The respondent is a 47-year-old Male who is Married with an education level of None. Their main crops include Maize, Rice, and Rice, while they also rear Cattle, Cattle, and Poultry. Reported outputs are 854.031962386657kg in the wet season and 421.1954059850924kg in the dry season. Irrigation is sourced from Dam. The farmer has received training. Market access is via Public vehicle and the market is 7.68 km away. The main buyer type is Wholesaler."
HH44,"Household HH44 is located in Village_87, Kaduna North, Kaduna. The respondent is a 41-year-old Female who is Married with an education level of Adult Edu.. Their main crops include Sorghum, Soybean, and Millet, while they also rear Pig, Pig, and Cattle. Reported outputs are 493.7466458729539kg in the wet season and 566.6051070918577kg in the dry season. Irrigation is sourced from Dam. The farmer has not received training. Market access is via Motorcycle and the market is 18.39 km away. The main buyer type is Assembler."
HH45,"Household HH45 is located in Village_84, Kaduna South, Kaduna. The respondent is a 61-year-old Female who is Divorced with an education level of Adult Edu.. Their main crops include Soybean, Groundnut, and Cassava, while they also rear Cattle, Cattle, and Goat. Reported outputs are 447.1766631578717kg in the wet season and 951.9503406909154kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Bicycle and the market is 8.46 km away. The main buyer type is Assembler."
HH46,"Household HH46 is located in Village_55, Kudan, Kaduna. The respondent is a 26-year-old Female who is Widowed with an education level of Secondary. Their main crops include Cassava, Soybean, and Cassava, while they also rear Sheep, Pig, and Goat. Reported outputs are 940.344531481684kg in the wet season and 690.4528363625118kg in the dry season. Irrigation is sourced from Dam. The farmer has received training. Market access is via Public vehicle and the market is 17.03 km away. The main buyer type is Retailer."
HH47,"Household HH47 is located in Village_48, Kauru, Kaduna. The respondent is a 46-year-old Male who is Widowed with an education level of Tertiary. Their main crops include Sorghum, Rice, and Cassava, while they also rear Cattle, Poultry, and Poultry. Reported outputs are 924.8954426851512kg in the wet season and 328.95722791224216kg in the dry season. Irrigation is sourced from None. The farmer has received training. Market access is via Public vehicle and the market is 4.22 km away. The main buyer type is Assembler."
HH48,"Household HH48 is located in Village_82, Sanga, Kaduna. The respondent is a 24-year-old Female who is Single with an education level of Quranic. Their main crops include Rice, Cassava, and Tomato, while they also rear Pig, Cattle, and Cattle. Reported outputs are 739.2918977636606kg in the wet season and 468.61078574981445kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Walking and the market is 13.08 km away. The main buyer type is Assembler."
HH49,"Household HH49 is located in Village_69, Zangon Kataf, Kaduna. The respondent is a 57-year-old Female who is Single with an education level of Tertiary. Their main crops include Soybean, Cassava, and Groundnut, while they also rear Goat, Goat, and Goat. Reported outputs are 322.2244913221039kg in the wet season and 257.2957900954025kg in the dry season. Irrigation is sourced from Borehole. The farmer has received training. Market access is via Walking and the market is 9.67 km away. The main buyer type is Wholesaler."
HH50,"Household HH50 is located in Village_71, Giwa, Kaduna. The respondent is a 25-year-old Male who is Single with an education level of Secondary. Their main crops include Sorghum, Millet, and Tomato, while they also rear Poultry, Poultry, and Goat. Reported outputs are 250.95720900661684kg in the wet season and 671.4450509868423kg in the dry season. Irrigation is sourced from River. The farmer has received training. Market access is via Animal cart and the market is 3.23 km away. The main buyer type is Processor."
HH51,"Household HH51 is located in Village_42, Kaduna South, Kaduna. The respondent is a 22-year-old Male who is Widowed with an education level of Secondary. Their main crops include Sorghum, Maize, and Maize, while they also rear Cattle, Goat, and Goat. Reported outputs are 742.9053770456202kg in the wet season and 679.8890644034796kg in the dry season. Irrigation is sourced from Dam. The farmer has not received training. Market access is via Public vehicle and the market is 15.89 km away. The main buyer type is Retailer."
HH52,"Household HH52 is located in Village_74, Jaba, Kaduna. The respondent is a 31-year-old Female who is Married with an education level of Primary. Their main crops include Soybean, Soybean, and Maize, while they also rear Goat, Pig, and Goat. Reported outputs are 949.2289059257258kg in the wet season and 457.0450955801695kg in the dry season. Irrigation is sourced from None. The farmer has received training. Market access is via Walking and the market is 4.52 km away. The main buyer type is Retailer."
HH53,"Household HH53 is located in Village_90, Kudan, Kaduna. The respondent is a 20-year-old Male who is Divorced with an education level of Secondary. Their main crops include Maize, Rice, and Cassava, while they also rear Cattle, Poultry, and Poultry. Reported outputs are 453.10749442356206kg in the wet season and 872.3064266110333kg in the dry season. Irrigation is sourced from None. The farmer has received training. Market access is via Public vehicle and the market is 7.25 km away. The main buyer type is Assembler."
HH54,"Household HH54 is located in Village_4, Sabon Gari, Kaduna. The respondent is a 34-year-old Female who is Widowed with an education level of Adult Edu.. Their main crops include Millet, Millet, and Sorghum, while they also rear Cattle, Pig, and Goat. Reported outputs are 389.1769884555119kg in the wet season and 752.7225232485521kg in the dry season. Irrigation is sourced from River. The farmer has not received training. Market access is via Public vehicle and the market is 1.67 km away. The main buyer type is Wholesaler."
HH55,"Household HH55 is located in Village_71, Makarfi, Kaduna. The respondent is a 28-year-old Male who is Married with an education level of Adult Edu.. Their main crops include Millet, Cassava, and Groundnut, while they also rear Goat, Poultry, and Sheep. Reported outputs are 880.3278139061243kg in the wet season and 354.52626941397403kg in the dry season. Irrigation is sourced from Dam. The farmer has not received training. Market access is via Walking and the market is 4.0 km away. The main buyer type is Retailer."
HH56,"Household HH56 is located in Village_53, Giwa, Kaduna. The respondent is a 63-year-old Male who is Single with an education level of Tertiary. Their main crops include Soybean, Rice, and Soybean, while they also rear Pig, Pig, and Goat. Reported outputs are 788.0261471984724kg in the wet season and 261.25571371167143kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Public vehicle and the market is 19.66 km away. The main buyer type is Assembler."
HH57,"Household HH57 is located in Village_39, Sokoto, Kaduna. The respondent is a 30-year-old Female who is Widowed with an education level of Primary. Their main crops include Maize, Sorghum, and Sorghum, while they also rear Poultry, Cattle, and Pig. Reported outputs are 683.7668652836719kg in the wet season and 918.689779323902kg in the dry season. Irrigation is sourced from Dam. The farmer has not received training. Market access is via Motorcycle and the market is 8.3 km away. The main buyer type is Processor."
HH58,"Household HH58 is located in Village_9, Zangon Kataf, Kaduna. The respondent is a 25-year-old Female who is Widowed with an education level of Adult Edu.. Their main crops include Tomato, Sorghum, and Groundnut, while they also rear Pig, Goat, and Pig. Reported outputs are 445.7571471498092kg in the wet season and 531.3623316877527kg in the dry season. Irrigation is sourced from None. The farmer has received training. Market access is via Walking and the market is 16.17 km away. The main buyer type is Retailer."
HH59,"Household HH59 is located in Village_90, Chikun, Kaduna. The respondent is a 49-year-old Female who is Married with an education level of Primary. Their main crops include Soybean, Maize, and Groundnut, while they also rear Cattle, Cattle, and Cattle. Reported outputs are 462.5079206791112kg in the wet season and 564.8667669729671kg in the dry season. Irrigation is sourced from Borehole. The farmer has not received training. Market access is via Walking and the market is 3.38 km away. The main buyer type is Assembler."
HH60,"Household HH60 is located in Village_28, Birnin Gwari, Kaduna. The respondent is a 19-year-old Male who is Divorced with an education level of Secondary. Their main crops include Tomato, Tomato, and Rice, while they also rear Poultry, Poultry, and Pig. Reported outputs are 296.3710961038738kg in the wet season and 287.495711355333kg in the dry season. Irrigation is sourced from None. The farmer has not received training. Market access is via Public vehicle and the market is 4.64 km away. The main buyer type is Assembler."
HH61,"Household HH61 is located in Village_45, Kaura, Kaduna. The respondent is a 23-year-old Female who is Single with an education level of None. Their main crops include Cassava, Groundnut, and Maize, while they also rear Goat, Cattle, and Poultry. Reported outputs are 663.6722559491093kg in the wet season and 416.3996068203632kg in the dry season. Irrigation is sourced from Borehole. The farmer has not received training. Market access is via Animal cart and the market is 13.25 km away. The main buyer type is Retailer."
HH62,"Household HH62 is located in Village_36, Giwa, Kaduna. The respondent is a 65-year-old Female who is Widowed with an education level of None. Their main crops include Soybean, Maize, and Millet, while they also rear Poultry, Poultry, and Sheep. Reported outputs are 530.1901147165811kg in the wet season and 207.71577397863217kg in the dry season. Irrigation is sourced from River. The farmer has received training. Market access is via Motorcycle and the market is 3.82 km away. The main buyer type is Wholesaler."
HH63,"Household HH63 is located in Village_8, Soba, Kaduna. The respondent is a 37-year-old Male who is Widowed with an education level of Secondary. Their main crops include Maize, Groundnut, and Groundnut, while they also rear Sheep, Sheep, and Cattle. Reported outputs are 995.0425540103308kg in the wet season and 291.65010592602005kg in the dry season. Irrigation is sourced from Borehole. The farmer has received training. Market access is via Bicycle and the market is 0.57 km away. The main buyer type is Processor."
HH64,"Household HH64 is located in Village_29, Kafanchan, Kaduna. The respondent is a 46-year-old Female who is Widowed with an education level of Adult Edu.. Their main crops include Sorghum, Soybean, and Groundnut, while they also rear Cattle, Cattle, and Pig. Reported outputs are 452.34251302726kg in the wet season and 904.6903096933328kg in the dry season. Irrigation is sourced from Borehole. The farmer has not received training. Market access is via Public vehicle and the market is 14.26 km away. The main buyer type is Assembler."
HH65,"Household HH65 is located in Village_42, Soba, Kaduna. The respondent is a 38-year-old Female who is Widowed with an education level of Secondary. Their main crops include Sorghum, Tomato, and Rice, while they also rear Goat, Poultry, and Goat. Reported outputs are 667.4163023920676kg in the wet season and 606.8888450271006kg in the dry season. Irrigation is sourced from Borehole. The farmer has received training. Market access is via Public vehicle and the market is 14.91 km away. The main buyer type is Wholesaler."
HH66,"Household HH66 is located in Village_96, Jemaa, Kaduna. The respondent is a 65-year-old Female who is Widowed with an education level of Adult Edu.. Their main crops include Cassava, Rice, and Maize, while they also rear Poultry, Pig, and Poultry. Reported outputs are 534.6433569068106kg in the wet season and 290.2350486475269kg in the dry season. Irrigation is sourced from River. The farmer has not received training. Market access is via Bicycle and the market is 7.13 km away. The main buyer type is Wholesaler."
HH67,"Household HH67 is located in Village_98, Giwa, Kaduna. The respondent is a 40-year-old Male who is Widowed with an education level of Quranic. Their main crops include Millet, Rice, and Cassava, while they also rear Cattle, Goat, and Goat. Reported outputs are 868.6467694072163kg in the wet season and 595.9782868298416kg in the dry season. Irrigation is sourced from Borehole. The farmer has not received training. Market access is via Public vehicle and the market is 6.07 km away. The main buyer type is Processor."
HH68,"Household HH68 is located in Village_100, Kauru, Kaduna. The respondent is a 30-year-old Male who is Divorced with an education level of Quranic. Their main crops include Soybean, Sorghum, and Groundnut, while they also rear Cattle, Pig, and Cattle. Reported outputs are 749.5917294824435kg in the wet season and 924.5247119574324kg in the dry season. Irrigation is sourced from River. The farmer has not received training. Market access is via Motorcycle and the market is 5.83 km away. The main buyer type is Processor."
HH69,"Household HH69 is located in Village_97, Sokoto, Kaduna. The respondent is a 51-year-old Female who is Widowed with an education level of Quranic. Their main crops include Sorghum, Sorghum, and Rice, while they also rear Goat, Poultry, and Goat. Reported outputs are 595.3756596971546kg in the wet season and 899.8635723859946kg in the dry season. Irrigation is sourced from River. The farmer has received training. Market access is via Walking and the market is 1.67 km away. The main buyer type is Wholesaler."
HH70,"Household HH70 is located in Village_70, Chikun, Kaduna. The respondent is a 41-year-old Female who is Married with an education level of Secondary. Their main crops include Rice, Groundnut, and Soybean, while they also rear Pig, Sheep, and Poultry. Reported outputs are 515.5237926581437kg in the wet season and 788.311175895397kg in the dry season. Irrigation is sourced from River. The farmer has received training. Market access is via Walking and the market is 12.25 km away. The main buyer type is Wholesaler."
